[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:3,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
