[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
[id:1,h:0,v:ZERO, id:5,h:0,v:ZERO, id:7,h:0,v:ZERO, id:10,h:0,v:ZERO]
